address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
1040 46th Rd # 4B/5B,Long Island City,NY,11101,3695000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1040-46th-Rd-4B-5B-Long-Island-City-NY-11101/2092413386_zpid/
4815 11th St APT 6E,Long Island City,NY,11101,1400000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4815-11th-St-APT-6E-Long-Island-City-NY-11101/89069748_zpid/
1017 Jackson Ave APT 4A,Long Island City,NY,11101,899900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1017-Jackson-Ave-APT-4A-Long-Island-City-NY-11101/112512174_zpid/
2110 44th Dr # 5A,Long Island City,NY,11101,780000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-44th-Dr-5A-Long-Island-City-NY-11101/2093383103_zpid/
4251 Hunter St APT 2A,Long Island City,NY,11101,1249000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4251-Hunter-St-APT-2A-Long-Island-City-NY-11101/83052471_zpid/
2728 Thomson Ave UNIT 454,Long Island City,NY,11101,1375000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-454-Long-Island-City-NY-11101/83056594_zpid/
519 Borden Ave APT 1A,Long Island City,NY,11101,1480000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/519-Borden-Ave-APT-1A-Long-Island-City-NY-11101/2123956238_zpid/
240 51st Ave APT 2M,Long Island City,NY,11101,810000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-51st-Ave-APT-2M-Long-Island-City-NY-11101/89025085_zpid/
5326 35th St,Long Island City,NY,11101,5500000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5326-35th-St-Long-Island-City-NY-11101/2092090415_zpid/
2721 44th Dr # 1501,Long Island City,NY,11101,1680000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-44th-Dr-1501-Long-Island-City-NY-11101/2092220001_zpid/
2728 Thomson Ave UNIT 438,Long Island City,NY,11101,1090000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-438-Long-Island-City-NY-11101/83056554_zpid/
13-33 Jackson Ave # 7G,Long Island City,NY,11101,1608000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-33-Jackson-Ave-7G-Long-Island-City-NY-11101/2098809730_zpid/
2110 44th Dr # 5C,Long Island City,NY,11101,1575000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-44th-Dr-5C-Long-Island-City-NY-11101/2094487515_zpid/
2110 44th Dr # 5B,Long Island City,NY,11101,795000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-44th-Dr-5B-Long-Island-City-NY-11101/2093215534_zpid/
2721 44th Dr # 1902,Long Island City,NY,11101,1700000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-44th-Dr-1902-Long-Island-City-NY-11101/2095878005_zpid/
4427 Purves St APT 9B,Long Island City,NY,11101,1125000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4427-Purves-St-APT-9B-Long-Island-City-NY-11101/83052597_zpid/
